County,Cases,Deaths
Adams,3,0
Benton,19,4
Chelan,10,0
Clallam,5,0
Clark,48,5
Columbia,1,0
Cowlitz,7,0
Douglas,5,0
Ferry,1,0
Franklin,7,0
Grant,33,1
Grays Harbor,1,0
Island,64,1
Jefferson,11,0
King,1577,109
Kitsap,33,0
Kittitas,8,0
Klickitat,7,0
Lewis,5,0
Lincoln,1,0
Mason,2,0
Okanogan,1,0
Pierce,186,4
San Juan,2,0
Skagit,78,1
Snohomish,778,16
Spokane,67,0
Stevens,2,0
Thurston,24,0
Walla Walla,2,0
Whatcom,86,4
Whitman,3,0
Yakima,61,2
Unassigned,69,0
Total,3207,147
